ticker,cr_chg20
000040,-100.0
000660,-11.2
000890,-11.14
0009K0,6.38
001260,14.61
001740,18.74
0017J0,-22.39
002020,0.47
002025,29.22
002070,707.73
002220,-34.95
002350,20.01
002787,-100.0
002820,-51.12
003060,0.0
003650,52.05
003680,0.82
004170,51.36
004540,-11.17
004870,-100.0
005360,39.99
006345,58.77
006370,-23.38
006920,-34.01
007110,-34.29
007720,17.95
007810,6.68
007820,-1.14
008470,0.0
008830,27.25
009150,10.62
009155,-0.4
009190,-32.9
009420,7.05
009460,0.0
010060,35.22
010130,5.51
010780,-6.38
011070,22.04
011090,-100.0
011155,-100.0
011300,-100.0
0120G0,154.83
012330,12.1
019210,1.0
023530,-42.1
025320,2.41
025560,22.51
025950,-26.32
027830,-22.72
028300,29.89
032960,-65.16
033540,-26.46
036420,-100.0
036800,-55.4
044340,-23.88
047920,117.95
048550,-0.99
057540,-12.1
058730,3.2
058820,-42.04
061250,-0.36
064350,9.17
064800,-20.87
064850,11.74
066980,-7.28
069960,-11.58
070300,68.48
074430,-13.06
084650,-58.1
084680,-38.33
085620,-35.21
085910,223.96
089970,46.53
092040,-7.84
093240,-17.81
094170,-9.49
096250,1.83
100090,8.34
102940,-4.86
104200,-25.05
105550,-10.92
107600,-13.21
111710,34.92
112040,19.17
115180,-42.76
124500,10.31
131400,-56.74
131760,-100.0
141080,0.3
145020,4.04
153890,-9.52
160980,-1.71
170920,22.35
178320,17.34
179530,-100.0
181710,-44.33
183300,129.02
189330,-59.2
194480,10.62
194700,6.07
196170,22.48
200130,12.9
203400,-3.68
206400,0.0
210980,10.32
212710,-8.56
214150,0.37
214370,7.43
214450,0.72
220100,24.89
226950,23.4
228340,1226.01
237690,37.57
240600,-100.0
242040,45.94
243070,-32.11
257720,0.18
263800,8.99
270520,-100.0
288980,-51.11
290650,38.13
290660,-100.0
293580,-17.45
298000,-23.17
298380,6.3
304840,-100.0
305090,-77.24
307950,4.7
310200,5.7
318060,115.89
320000,1.03
322310,-6.22
330350,80.34
334970,0.0
337930,5.44
338220,9.44
340570,-9.11
347850,-10.76
348340,-20.09
354200,-100.0
356860,-17.44
357880,1014.59
365270,0.0
365660,27.22
371950,-40.52
373110,-100.0
373200,-100.0
376900,44.76
389020,-8.02
389470,191.83
394420,-14.84
397030,7.32
402030,-36.52
402340,-4.34
405000,-100.0
413390,-3.0
417310,3404.35
419080,-52.22
419530,-7.0
420770,37.87
439960,-13.39
456160,-11.42
458870,8.87
463020,-6.78
464490,-17.74
465770,-50.69
475040,116.82
475150,7.66
475430,-6.67
475460,-4.89
475560,-6.88
475830,8.04
475960,27.64
476040,-0.39
476830,16.04
477850,-25.3
483650,23.43
484870,57.93
491000,97.76
493280,12.26
494120,-36.44
950160,-55.11
950220,-19.07
